"date","invocationclass","region","runtime","artifactsize","memorysize","median_daily_duration"
"2020-06-16","warm-one","ap-southeast-2","java11","small","3008","19"
"2020-05-26","warm-two","ap-southeast-2","java8","large","512","24"
"2020-06-27","cold","eu-west-1","java11","small","1536","483"
"2020-05-30","warm-one","us-west-1","java8","large","1536","17"
"2020-06-18","cold","eu-west-2","java11","small","3008","397"
"2020-06-04","cold","eu-central-1","java11","small","3008","389"
"2020-06-13","cold","us-west-1","java11","large","512","861"
"2020-06-07","warm-two","ap-southeast-1","java8","small","512","21"
"2020-06-07","cold","us-east-2","java11","small","1536","474"
"2020-06-07","cool","eu-north-1","java8","small","3008","35"
"2020-06-11","warm-two","ap-northeast-2","python38","small","1536","22"
"2020-05-15","cold","eu-central-1","java11","small","1536","482"
"2020-06-04","warm-two","ap-south-1","java8","small","3008","21"
"2020-06-11","warm-two","ap-southeast-2","java11","small","3008","24"
"2020-06-04","warm-two","sa-east-1","java8","large","512","26"
"2020-06-12","cool","ap-northeast-2","java8","large","512","31"
"2020-06-18","cold","ap-northeast-1","java8","large","1536","996"
"2020-05-16","cool","us-west-2","java8","small","1536","33"
"2020-05-30","warm-two","eu-west-2","java11","large","512","19"
"2020-06-18","cold","ap-southeast-1","java8","small","1536","637"
"2020-06-09","warm-two","ap-southeast-1","java11","large","512","23"
"2020-06-01","warm-one","ap-northeast-1","java11","small","3008","25"
"2020-06-11","warm-one","ap-northeast-2","java11","small","512","19"
"2020-05-15","cool","ap-south-1","java8","small","1536","28"
"2020-05-26","cold","ap-south-1","java8","largeuberjar","512","817"
"2020-05-15","cold","ap-northeast-2","java11","large","512","885"
"2020-06-10","warm-one","ap-southeast-2","java8","small","512","20"
"2020-05-15","warm-two","us-west-1","java11","large","512","17"
"2020-06-10","cold","eu-west-2","java11","small","3008","405"
"2020-06-21","cold","us-west-1","java11","small","1536","470"
"2020-06-21","warm-two","ap-south-1","java8","large","512","19"
"2020-06-10","cold","eu-north-1","java8","large","512","930"
"2020-05-15","cool","eu-north-1","java8","largeuberjar","512","35"
"2020-05-21","cool","ap-northeast-1","java8","small","512","53"
"2020-06-21","cool","us-west-2","java8","large","512","35"
"2020-06-16","warm-two","eu-central-1","java8","large","3008","22"
"2020-05-11","warm-one","eu-west-1","java11","large","3008","18"
"2020-05-11","warm-one","sa-east-1","java11","small","1536","19"
"2020-06-11","warm-two","ap-northeast-2","java8","large","512","21"
"2020-05-11","warm-one","ap-southeast-1","java8","large","3008","20"
"2020-05-22","cool","eu-north-1","java8","largeuberjar","512","34"
"2020-05-23","cold","us-west-1","python38","small","1536","243"
"2020-06-22","warm-two","us-west-2","java11","large","3008","21"
"2020-06-22","cold","sa-east-1","python38","small","1536","254"
"2020-05-20","cold","sa-east-1","java11","large","1536","933"
"2020-05-17","warm-two","us-west-2","java11","small","512","20"
"2020-05-13","cold","ap-northeast-1","java11","small","512","520"
"2020-05-14","warm-two","eu-north-1","java11","large","3008","20"
"2020-06-09","warm-two","eu-north-1","java11","small","1536","21"
"2020-05-24","cold","us-west-2","java8","small","512","679"
"2020-05-21","cold","eu-west-2","java11","small","1536","466"
"2020-05-09","cool","eu-north-1","java8","small","3008","35"
"2020-05-21","warm-one","eu-west-1","java11","small","3008","18"
"2020-05-21","warm-two","ap-southeast-2","java8","large","512","22"
"2020-05-14","warm-one","ap-northeast-1","python38","small","1536","29"
"2020-05-20","warm-two","us-east-2","java11","large","1536","16"
"2020-06-01","cool","ap-northeast-2","java11","large","1536","32"
"2020-06-04","warm-two","us-west-2","java11","small","1536","17"
"2020-05-23","warm-one","eu-central-1","java8","small","1536","15"
"2020-05-21","cool","us-west-1","java11","large","1536","33"
"2020-06-04","cool","eu-north-1","java11","small","512","35"
"2020-05-15","warm-two","eu-north-1","java8","large","3008","22"
"2020-06-22","warm-two","ap-southeast-2","java8","largeuberjar","512","24"
"2020-05-25","warm-one","eu-west-1","java8","large","1536","17"
"2020-05-23","cool","ap-southeast-2","java8","largeuberjar","512","36"
"2020-05-11","warm-one","ap-southeast-1","java11","large","1536","18"
"2020-05-21","cool","ap-northeast-2","java8","largeuberjar","512","33"
"2020-05-09","warm-two","us-east-2","java11","large","3008","16"
"2020-06-15","warm-one","us-west-2","java11","large","512","21"
"2020-06-04","warm-one","eu-west-2","java8","small","512","17"
"2020-05-17","cold","ap-southeast-1","java11","small","3008","405"
"2020-06-15","cool","eu-west-1","java11","large","512","29"
"2020-06-09","cold","ap-northeast-2","java11","small","512","489"
"2020-06-07","warm-one","eu-west-3","java11","large","512","16"
"2020-05-13","warm-two","us-east-2","java8","small","3008","18"
"2020-06-21","cold","ap-southeast-2","java11","large","512","944"
"2020-06-23","cold","ap-south-1","java11","large","512","843"
"2020-06-13","warm-one","eu-north-1","java11","large","1536","17"
"2020-06-23","cold","us-west-2","java8","small","512","714"
"2020-06-23","warm-one","sa-east-1","java11","small","3008","19"
"2020-06-20","cold","eu-west-2","java11","small","1536","469"
"2020-05-20","cold","ap-northeast-1","java8","small","512","706"
"2020-06-22","warm-two","us-east-2","java8","large","512","17"
"2020-06-21","cool","sa-east-1","java8","large","1536","38"
"2020-06-22","warm-one","eu-central-1","java11","large","1536","18"
"2020-05-22","cold","eu-north-1","java8","small","1536","636"
"2020-06-27","warm-two","sa-east-1","java8","small","3008","25"
"2020-06-16","cold","eu-west-2","java11","large","512","989"
"2020-06-27","cool","eu-west-2","java8","large","3008","28"
"2020-05-25","warm-one","ap-northeast-1","java11","small","512","29"
"2020-05-20","warm-one","eu-west-3","python38","small","1536","17"
"2020-05-25","warm-two","eu-north-1","java11","small","1536","20"
"2020-06-11","cool","ap-south-1","java11","small","1536","29"
"2020-05-14","cool","ap-southeast-2","java8","small","1536","37"
"2020-05-14","cool","ap-south-1","java11","small","1536","29"
"2020-06-12","warm-one","us-west-2","python38","small","1536","21"
"2020-06-04","warm-one","sa-east-1","java11","small","512","22"
"2020-05-16","cold","ap-southeast-2","java11","small","1536","471"
"2020-05-21","warm-one","ap-southeast-1","java8","small","3008","21"
"2020-06-04","cool","us-west-2","java8","small","3008","31"
"2020-05-21","warm-two","ap-northeast-2","java8","large","3008","22"
"2020-06-07","warm-two","eu-north-1","java11","small","1536","17"
"2020-06-07","cool","ap-northeast-2","python38","small","1536","34"
"2020-05-17","cool","ap-south-1","python38","small","1536","29"
"2020-05-14","warm-one","us-west-1","java8","large","1536","19"
"2020-05-22","cool","eu-west-3","java8","small","3008","30"
"2020-05-22","warm-two","eu-north-1","java11","large","1536","19"
"2020-05-22","warm-two","eu-west-3","java11","small","1536","17"
"2020-05-24","warm-one","ap-south-1","java8","small","512","17"
"2020-05-24","cold","ap-southeast-2","java8","large","512","954"
"2020-05-21","cold","eu-west-3","java11","small","512","466"
"2020-05-21","warm-one","us-east-1","java8","large","512","20"
"2020-05-09","cool","ap-southeast-1","java11","large","512","29"
"2020-06-15","warm-one","eu-west-2","java8","large","1536","19"
"2020-06-20","warm-one","eu-west-1","java8","small","1536","17"
"2020-05-16","cold","sa-east-1","java8","small","512","673"
"2020-05-13","warm-two","us-east-1","java11","small","3008","21"
"2020-05-13","cold","eu-west-2","java11","large","1536","948"
"2020-05-13","cool","us-east-1","java8","small","1536","31"
"2020-06-07","cold","eu-west-2","java8","large","3008","782"
"2020-06-27","cool","us-west-1","java11","large","3008","31"
"2020-06-27","warm-two","ap-northeast-1","java11","small","512","32"
"2020-05-26","cold","ap-northeast-2","java8","small","1536","652"
"2020-05-09","cold","eu-west-2","java8","large","3008","865"
"2020-06-12","cool","eu-west-2","java11","large","512","30"
"2020-06-12","warm-one","us-east-2","java11","small","1536","20"
"2020-06-27","cool","us-east-2","java11","small","1536","28"
"2020-05-24","warm-two","eu-west-1","java8","largeuberjar","512","15"
"2020-06-04","warm-one","ap-southeast-1","java11","large","512","16"
"2020-05-16","cool","eu-west-3","java11","large","3008","29"
"2020-05-11","cold","eu-west-2","java11","large","1536","899"
"2020-05-24","cold","eu-central-1","java8","large","512","1367"
"2020-05-16","cold","us-east-1","java11","large","3008","1022"
"2020-06-09","cool","ap-northeast-2","java8","large","512","32"
"2020-05-29","cool","sa-east-1","java8","small","3008","44"
"2020-06-19","warm-two","eu-west-3","java11","large","512","16"
"2020-06-19","cold","eu-west-1","java8","small","3008","575"
"2020-05-29","cool","us-west-1","java8","small","3008","31"
"2020-06-19","cool","ap-south-1","java8","large","512","29"
"2020-06-14","warm-two","us-west-1","java8","large","512","17"
"2020-06-19","cold","eu-west-1","java11","small","1536","484"
"2020-06-14","cold","eu-central-1","java11","small","3008","398"
"2020-05-29","warm-one","ap-northeast-1","java8","small","3008","23"
"2020-05-29","cold","eu-west-3","java8","largeuberjar","512","851"
"2020-05-28","warm-one","us-east-2","java11","small","512","21"
"2020-05-28","cold","ap-south-1","java11","small","1536","468"
"2020-06-14","warm-two","eu-west-3","java8","small","1536","16"
"2020-06-14","warm-two","ap-south-1","java8","small","3008","19"
"2020-05-29","warm-two","eu-central-1","java11","large","512","22"
"2020-05-29","warm-two","us-west-2","java11","small","512","20"
"2020-05-28","cold","us-east-1","java8","largeuberjar","512","1064"
"2020-06-02","warm-one","ap-northeast-1","java11","small","3008","24"
"2020-05-28","cool","eu-west-3","java8","largeuberjar","512","27"
"2020-06-19","cold","eu-west-2","java11","small","3008","397"
"2020-06-02","cool","ap-south-1","java8","small","512","28"
"2020-06-19","warm-one","us-west-2","java8","large","1536","22"
"2020-05-28","cold","eu-north-1","java8","large","1536","924"
"2020-05-29","warm-two","eu-west-2","java8","small","1536","23"
"2020-05-28","warm-two","eu-west-3","java8","large","3008","16"
"2020-05-28","warm-two","eu-west-3","java11","large","1536","18"
"2020-06-02","warm-two","ap-northeast-1","java8","large","3008","32"
"2020-05-28","cool","eu-central-1","java8","small","512","33"
"2020-06-14","cold","ap-southeast-2","java11","small","3008","405"
"2020-06-14","warm-two","us-west-2","java11","small","1536","17"
"2020-06-17","cold","ap-southeast-1","java11","large","512","902"
"2020-06-02","warm-two","ap-northeast-2","java8","small","1536","22"
"2020-06-05","cold","ap-northeast-1","java8","largeuberjar","512","834"
"2020-06-05","cold","sa-east-1","java11","small","3008","425"
"2020-06-05","warm-one","us-west-2","java8","largeuberjar","512","20"
"2020-06-19","cold","ap-northeast-2","java8","small","3008","559"
"2020-05-28","cold","ap-south-1","java8","small","3008","539"
"2020-06-05","cold","eu-central-1","python38","small","1536","237"
"2020-05-31","warm-two","eu-west-1","java11","large","512","18"
"2020-05-31","cold","us-east-1","java11","small","1536","518"
"2020-06-05","warm-one","eu-west-2","java8","small","3008","18"
"2020-06-17","warm-two","ap-south-1","java11","small","1536","21"
"2020-05-31","warm-one","ap-southeast-1","java11","small","512","18"
"2020-06-05","warm-one","ap-northeast-1","java8","large","3008","25"
"2020-06-05","warm-two","us-west-1","java11","large","1536","18"
"2020-06-05","warm-two","ap-northeast-1","java8","small","512","30"
"2020-06-06","warm-one","us-west-1","java8","small","1536","18"
"2020-06-25","warm-two","eu-central-1","java8","small","1536","19"
"2020-05-28","warm-two","ap-northeast-1","java8","small","3008","33"
"2020-05-28","cool","ap-northeast-2","java11","small","1536","32"
"2020-05-29","cool","eu-west-1","java11","large","3008","29"
"2020-06-19","cold","eu-north-1","java8","large","512","945"
"2020-06-02","cold","eu-north-1","java8","small","512","657"
"2020-06-25","warm-two","us-east-1","java8","large","3008","21"
"2020-05-31","cool","us-east-1","java8","large","1536","34"
"2020-06-17","cold","us-west-1","java11","small","512","493"
"2020-06-14","warm-two","eu-central-1","java8","large","3008","19"
"2020-06-28","cold","ap-southeast-2","java8","large","1536","935"
"2020-06-28","warm-two","eu-west-1","java11","small","3008","18"
"2020-05-31","warm-two","ap-southeast-1","java8","large","512","22"
"2020-05-19","cold","eu-west-2","java11","small","3008","388"
"2020-05-31","cool","eu-west-2","python38","small","1536","29"
"2020-05-19","cold","ap-northeast-1","java8","large","1536","934"
"2020-06-25","warm-two","eu-west-1","java8","large","512","19"
"2020-06-05","warm-one","eu-central-1","python38","small","1536","16"
"2020-06-28","warm-two","us-east-1","python38","small","1536","21"
"2020-06-02","cold","eu-west-3","java8","large","1536","853"
"2020-05-12","warm-one","eu-west-3","java8","small","512","17"
"2020-05-31","warm-one","us-east-2","java8","small","1536","17"
"2020-06-03","cold","eu-north-1","java11","small","3008","403"
"2020-06-24","warm-two","eu-central-1","java11","small","3008","21"
"2020-06-28","cold","us-east-2","java11","large","512","959"
"2020-06-26","cold","ap-southeast-2","java11","large","512","969"
"2020-06-26","warm-one","eu-west-1","java8","small","3008","16"
"2020-06-03","cool","us-west-2","java11","small","3008","34"
"2020-05-10","warm-two","us-west-1","java8","small","512","19"
"2020-05-31","warm-one","ap-northeast-1","java11","large","512","24"
"2020-06-06","warm-one","us-west-2","java8","small","512","19"
"2020-06-28","cool","eu-west-3","java11","small","512","30"
"2020-06-25","cool","eu-west-3","java8","small","1536","30"
"2020-06-14","cold","eu-west-1","python38","small","1536","249"
"2020-06-26","cold","eu-west-2","java8","small","1536","631"
"2020-06-19","warm-two","ap-northeast-2","java8","large","1536","21"
"2020-06-26","warm-two","eu-west-2","java8","large","3008","18"
"2020-06-26","warm-one","eu-north-1","java8","large","512","18"
"2020-06-28","warm-two","ap-southeast-2","java11","small","512","23"
"2020-06-03","cold","eu-west-1","java8","small","512","696"
"2020-05-12","cold","us-west-2","java11","small","512","528"
"2020-06-24","cool","eu-central-1","java8","small","1536","30"
"2020-05-19","cold","eu-west-1","java8","small","3008","576"
"2020-05-12","warm-two","ap-south-1","java8","large","512","18"
"2020-05-31","cool","ap-southeast-2","java8","small","3008","37"
"2020-06-26","cold","eu-central-1","java11","large","512","1013"
"2020-06-17","warm-two","us-east-1","java8","largeuberjar","512","21"
"2020-05-19","cold","eu-west-3","java8","small","512","636"
"2020-05-18","warm-one","us-west-1","java11","large","512","17"
"2020-06-24","warm-two","ap-northeast-2","python38","small","1536","22"
"2020-06-25","warm-one","eu-west-1","java11","small","512","18"
"2020-06-28","warm-two","us-east-1","java8","large","512","19"
"2020-06-17","warm-one","eu-north-1","java11","small","1536","19"
"2020-06-17","cold","eu-central-1","java11","small","3008","407"
"2020-06-05","cold","ap-south-1","java8","small","512","656"
"2020-05-29","cool","ap-northeast-1","java11","small","512","49"
"2020-06-03","warm-one","us-east-1","java8","small","3008","21"
"2020-05-12","warm-one","eu-central-1","java11","large","512","20"
"2020-05-10","warm-one","us-west-1","java8","large","3008","18"
"2020-05-19","cool","ap-south-1","java8","large","512","29"
"2020-06-06","cool","sa-east-1","java8","largeuberjar","512","39"
"2020-06-08","cool","us-east-2","java8","large","1536","27"
"2020-06-05","warm-one","eu-west-2","java11","small","1536","18"
"2020-06-03","cold","sa-east-1","java8","largeuberjar","512","917"
"2020-05-18","cold","us-east-1","java11","small","512","539"
"2020-05-12","cold","us-west-1","java11","small","1536","481"
"2020-06-26","cold","us-west-2","java11","small","512","523"
"2020-06-25","warm-one","sa-east-1","java8","large","1536","19"
"2020-06-03","cool","us-east-2","java8","small","512","30"
"2020-05-10","cool","ap-south-1","java11","small","3008","28"
"2020-05-10","warm-two","ap-southeast-2","java11","small","1536","22"
"2020-05-12","cold","us-west-1","java8","small","3008","562"
"2020-06-19","warm-two","sa-east-1","java8","small","3008","28"
"2020-06-06","cold","eu-west-2","java11","large","3008","805"
"2020-05-28","warm-two","us-east-2","python38","small","1536","16"
"2020-06-08","warm-one","eu-west-2","java11","large","1536","17"
"2020-06-26","cool","sa-east-1","java8","large","1536","47"
"2020-06-25","cool","us-west-1","python38","small","1536","34"
"2020-06-03","warm-two","eu-west-2","python38","small","1536","18"
"2020-06-08","cool","us-east-1","java11","large","1536","33"
"2020-05-18","cold","ap-south-1","java8","small","1536","632"
"2020-06-14","warm-one","eu-central-1","java11","small","3008","18"
"2020-05-19","warm-one","eu-west-2","java11","small","3008","17"
"2020-05-12","cold","ap-southeast-2","java11","large","512","1006"
"2020-06-25","cool","us-east-1","java8","largeuberjar","512","33"
"2020-05-10","warm-one","ap-northeast-1","java11","large","512","23"
"2020-06-17","warm-two","eu-north-1","java8","large","1536","23"
"2020-05-19","cool","sa-east-1","java11","large","3008","36"
"2020-05-19","warm-two","eu-west-3","java11","large","512","17"
"2020-06-28","warm-two","ap-south-1","java8","largeuberjar","512","20"
"2020-06-08","cool","ap-northeast-2","python38","small","1536","33"
"2020-06-28","cold","eu-west-3","java11","large","3008","789"
"2020-05-18","cool","eu-north-1","java11","large","512","36"
"2020-05-11","warm-two","ap-northeast-1","python38","small","1536","32"
"2020-05-20","warm-two","us-east-1","java8","small","3008","23"
"2020-06-21","warm-one","ap-northeast-1","java8","large","1536","21"
"2020-06-18","cold","eu-west-1","java8","small","3008","562"
"2020-06-18","warm-two","eu-west-1","java11","large","3008","17"
"2020-05-24","cold","ap-northeast-2","java8","large","3008","844"
"2020-05-30","cold","ap-northeast-1","java8","large","512","933"
"2020-05-16","cold","ap-southeast-1","java8","large","512","846"
"2020-05-11","cold","ap-northeast-1","java11","small","512","516"
"2020-05-21","warm-two","eu-west-3","python38","small","1536","16"
"2020-05-26","cool","ap-northeast-1","java8","small","512","46"
"2020-05-30","warm-two","eu-central-1","java8","small","1536","17"
"2020-06-13","cool","eu-central-1","java11","small","512","31"
"2020-06-20","cold","eu-west-1","java8","small","1536","650"
"2020-06-20","cool","us-west-2","java11","large","512","35"
"2020-06-12","warm-one","us-west-1","java11","large","3008","20"
"2020-05-22","warm-one","us-west-1","java8","largeuberjar","512","20"
"2020-05-23","cold","eu-north-1","java8","large","1536","937"
"2020-05-24","warm-two","us-west-2","java11","large","512","19"
"2020-06-07","warm-one","eu-west-1","java8","large","1536","16"
"2020-06-20","warm-two","ap-northeast-1","java8","small","512","31"
"2020-06-22","warm-one","sa-east-1","python38","small","1536","21"
"2020-06-11","warm-one","eu-west-2","java8","largeuberjar","512","15"
"2020-05-14","warm-two","eu-west-1","java8","large","512","17"
"2020-05-15","cool","eu-central-1","java8","large","1536","32"
"2020-05-27","cold","us-east-2","java8","small","3008","556"
"2020-06-27","warm-one","ap-northeast-1","java11","large","3008","25"
"2020-06-22","cold","us-west-2","java11","small","1536","532"
"2020-06-21","cool","us-east-1","java11","small","3008","32"
"2020-06-22","warm-two","ap-northeast-1","java8","small","3008","32"
"2020-06-01","warm-one","eu-west-3","java11","large","3008","15"
"2020-06-01","warm-two","us-west-2","java8","largeuberjar","512","20"
"2020-06-01","cold","eu-north-1","java8","small","512","662"
"2020-06-01","warm-one","us-east-2","java11","large","512","17"
"2020-05-21","cold","ap-northeast-1","java8","large","3008","958"
"2020-05-11","cool","us-east-1","java8","small","1536","35"
"2020-06-01","cool","ap-south-1","java8","small","512","30"
"2020-05-22","cool","ap-south-1","java8","small","1536","29"
"2020-05-16","warm-two","eu-west-3","java8","small","3008","16"
"2020-05-16","warm-one","eu-central-1","java11","small","1536","21"
"2020-06-15","cold","us-west-2","java11","large","512","1306"
"2020-06-18","cold","ap-south-1","java11","small","512","464"
"2020-06-23","warm-two","ap-southeast-1","java11","small","512","26"
"2020-05-17","cold","ap-northeast-1","java11","large","3008","892"
"2020-05-25","warm-one","eu-west-2","java11","large","1536","18"
"2020-06-10","cold","ap-southeast-2","java8","small","512","686"
"2020-06-27","cold","ap-northeast-1","java11","large","3008","930"
"2020-06-04","warm-one","eu-north-1","java8","small","3008","18"
"2020-06-22","warm-two","eu-west-3","java8","large","3008","16"
"2020-05-22","warm-two","ap-southeast-2","java8","small","3008","22"
"2020-06-15","cool","ap-southeast-1","python38","small","1536","34"
"2020-06-10","warm-one","ap-southeast-1","java8","small","1536","21"
"2020-06-23","warm-one","eu-central-1","java8","large","512","18"
"2020-06-15","cold","eu-west-2","java8","large","1536","1095"
"2020-05-14","warm-two","us-east-1","java8","large","3008","22"
"2020-05-27","warm-two","eu-north-1","java11","small","1536","23"
"2020-05-25","warm-two","us-east-2","java11","large","3008","20"
"2020-06-15","warm-one","eu-west-3","java8","large","512","15"
"2020-06-10","warm-one","ap-northeast-2","java11","small","1536","16"
"2020-06-23","cold","eu-west-1","java8","large","3008","926"
"2020-06-01","cool","ap-southeast-1","java11","large","3008","33"
"2020-06-22","cold","us-west-1","java8","large","512","1068"
"2020-06-01","cold","ap-northeast-1","java8","small","1536","676"
"2020-06-27","cold","ap-southeast-1","java8","small","1536","653"
"2020-05-17","warm-one","ap-south-1","java8","large","1536","16"
"2020-06-13","warm-two","ap-northeast-1","java11","small","3008","24"
"2020-05-27","cold","ap-south-1","java8","large","512","925"
"2020-06-16","cool","eu-west-3","java8","large","3008","29"
"2020-05-27","warm-one","eu-west-2","java8","large","3008","18"
"2020-06-09","cold","sa-east-1","java11","large","3008","907"
"2020-06-12","warm-two","ap-northeast-2","python38","small","1536","23"
"2020-05-27","warm-two","eu-west-2","java8","small","512","20"
"2020-06-13","cold","ap-south-1","java11","small","3008","385"
"2020-06-21","warm-two","us-east-2","java11","small","1536","17"
"2020-05-20","cool","ap-southeast-1","python38","small","1536","37"
"2020-05-30","warm-two","us-east-1","java8","large","3008","19"
"2020-06-04","cool","ap-southeast-2","java8","large","3008","39"
"2020-05-27","warm-two","us-east-2","java11","large","3008","15"
"2020-05-14","warm-two","eu-west-1","python38","small","1536","18"
"2020-06-20","warm-one","us-west-2","java8","largeuberjar","512","16"
"2020-06-09","warm-two","eu-north-1","java8","small","3008","23"
"2020-05-26","cold","eu-north-1","java11","large","512","946"
"2020-06-07","cold","ap-southeast-1","java8","largeuberjar","512","791"
"2020-05-26","cool","eu-west-3","java8","large","512","29"
"2020-05-22","warm-one","eu-west-1","java8","small","512","19"
"2020-06-07","warm-two","us-east-1","java8","small","1536","20"
"2020-06-15","warm-two","sa-east-1","java8","largeuberjar","512","23"
"2020-05-14","cool","us-west-1","python38","small","1536","33"
"2020-06-10","warm-one","eu-west-3","java8","largeuberjar","512","15"
"2020-06-22","warm-two","ap-south-1","java8","large","1536","19"
"2020-05-27","cold","us-west-1","java11","large","3008","938"
"2020-06-20","warm-one","ap-northeast-2","java8","small","1536","18"
"2020-06-01","warm-two","ap-northeast-1","java11","large","1536","31"
"2020-05-30","warm-two","us-east-1","java11","large","1536","20"
"2020-05-26","warm-one","ap-south-1","java8","largeuberjar","512","14"
"2020-05-09","cool","ap-northeast-2","python38","small","1536","31"
"2020-06-23","warm-two","us-west-1","java8","large","3008","20"
"2020-05-21","warm-two","us-west-2","java8","small","512","23"
"2020-06-23","cold","eu-west-2","java11","large","3008","907"
"2020-05-17","warm-one","ap-southeast-1","java11","small","3008","18"
"2020-05-27","warm-one","ap-south-1","java8","large","512","15"
"2020-06-16","cold","ap-northeast-2","java8","large","512","867"
"2020-05-14","cool","eu-central-1","java11","large","1536","30"
"2020-06-09","warm-one","us-west-1","java11","large","3008","18"
"2020-06-16","cool","us-east-2","java8","large","512","29"
"2020-05-22","cool","us-east-2","java8","small","512","30"
"2020-05-30","cool","us-east-1","java8","largeuberjar","512","30"
"2020-05-20","warm-one","us-east-2","java11","small","3008","17"
"2020-06-07","cold","ap-south-1","python38","small","1536","232"
"2020-05-23","warm-two","eu-north-1","java11","small","512","25"
"2020-05-23","cool","us-west-2","java11","large","3008","31"
"2020-05-22","cold","us-east-2","java8","large","3008","980"
"2020-06-10","warm-two","eu-west-1","java8","large","1536","17"
"2020-05-15","warm-two","eu-west-3","java11","small","1536","16"
"2020-06-04","warm-two","us-west-1","java8","large","512","19"
